,vdis,beta_con,DNI,DIF,mcpi
0,1.3118461389160156,1.1299991803896484e+24,296.8351,123.998436,0.9500404011132001
1,1.0903775,4.6182879699999994e+23,293.89227,124.445694,0.8412276981336335
2,1.2010562500000002,7.949734479999999e+23,294.24048,124.54361,0.9262690184475022
3,1.3118619719696047,1.1278021902566527e+24,294.0186,124.72327,0.9589061185395926
4,1.3110871704101563,1.1265118006308591e+24,296.13208,124.29656,0.9871057574793141
5,0.869715,1.4955787099999998e+23,293.86127,124.41951,0.8466482503061028
6,1.31003279296875,1.1367415566406248e+24,297.25824,123.920235,1.0187012059249891
7,1.3119087500000004,1.2166226929999998e+24,297.9985,123.40567,1.0515511904093393
8,1.311735,1.1281180989999998e+24,291.11087,125.78297,0.8086014250448218
9,1.4,1.1072443739999998e+24,293.8256,125.11363,0.8647407965094136
10,1.3118955999755864,1.12782823145166e+24,293.59164,124.81815,0.8540367399700588
11,1.31104,7.740997229999999e+23,292.08405,125.11223,0.8138767655338754
13,1.3117885333251955,1.1280214764838866e+24,295.8046,124.12682,1.0072237788629976
14,1.3100653710937502,1.1533361680156249e+24,297.99115,124.08983,1.0346477480081517
15,1.3391440625,1.0786473707499999e+24,297.3556,123.830315,0.9776943639401492
16,1.3117322851562505,1.1267352147187497e+24,295.5052,124.39663,1.0019986265998653
17,1.3118218750000001,1.1723703959999999e+24,294.76804,124.9285,0.9048487747007476
18,1.3117458593750002,1.1336496361249999e+24,296.67108,123.91862,0.995015089788442
19,1.3118146212768558,1.1276274441555175e+24,294.8352,124.67341,0.9015678097583371
20,1.3103449999999999,4.2008134699999996e+23,291.68,125.33587,0.8415257825689977
21,1.3121632666015626,1.1273451188710938e+24,296.2661,124.46047,0.9521701467883759
22,1.3186741406250002,1.1600027139374998e+24,297.12488,124.15973,0.9746878636525915
23,1.3117816719818118,1.1279471240308225e+24,296.61807,124.04829,0.9830731391713949
24,1.3118557893371585,1.1280735588739012e+24,295.8153,124.40866,1.0458723793674627
25,1.4,1.3986415749999998e+24,294.28076,125.335526,0.9190987950053155
26,1.366726875,1.1176812364999998e+24,297.72083,124.11454,1.0014244807919868
27,1.3152045703125002,1.1440604064687496e+24,295.44986,124.41535,0.9811308356965073
28,0.1,1.15e+23,320.98648,118.64421,1.0
29,1.3185872656250002,1.1157504169374999e+24,298.024,123.498474,1.0261412778892156
30,1.3117784375000001,1.1502442474999998e+24,294.70624,124.96036,0.8989215101625021
31,1.3100002148437502,1.1201469452656249e+24,294.80804,124.21177,0.9480436378744888
32,1.3083088671875,1.1343019400312499e+24,293.9959,124.75255,0.9232145155545632
34,1.3100219335937502,1.1312100195156249e+24,295.33487,123.23174,0.9028228418039647
35,1.32543953125,1.1033827348749998e+24,294.82285,124.122696,0.8823314020866967
36,1.3108784667968751,1.1296640592578123e+24,295.03934,124.06917,0.8592205479804562
37,1.311802256011963,1.1281701813900145e+24,297.5159,123.61313,0.9845017759547547
38,1.3118756946563725,1.1279508951627806e+24,293.7524,125.52077,0.8837592808232224
39,1.3119491333007816,1.1277316089355466e+24,294.48206,124.82558,0.8406529657903217
40,1.3665531249999998,1.0291766424999998e+24,295.65973,124.30489,0.9482645280095798
41,1.0917675000000004,1.1698655489999997e+24,295.98404,124.36118,0.9770383323115949
42,1.3117377148437501,1.12950098328125e+24,294.35638,124.440796,0.9513846706632113
43,1.3118221613311771,1.1280475176788939e+24,294.61478,124.730095,0.9301920558331638
44,1.304795859375,1.0962334840624999e+24,297.9789,123.49494,0.9898694017711764
45,1.255700625,6.075273974999999e+23,299.7328,123.28331,1.0764576022688366
46,1.310867607421875,1.1241325221328124e+24,294.12665,124.76754,0.9428757519454265
47,1.3117871759033206,1.1273300343432615e+24,296.75482,123.38134,1.0046177812908954
49,1.3121686962890626,1.1301108874335937e+24,291.19577,125.517525,0.8887159347281633
50,1.3119518481445314,1.1291144932167969e+24,298.29095,123.910484,0.9455184345250631
51,1.3113067333984376,1.1288910791289061e+24,295.26184,124.35736,0.9726987110896652
52,1.3118969573974613,1.1285196735922851e+24,293.60507,124.996445,0.9245491952700422
53,1.304882734375,1.1404857810624998e+24,291.8988,124.75823,0.8401766704352442
54,1.311774810638428,1.1278727715777587e+24,294.813,123.93753,0.9792512454833658
55,1.311842066650391,1.1279248539677733e+24,290.54355,125.74615,0.7731930972296797
56,1.3113875,9.511089109999998e+23,294.7542,124.30432,0.9213464111101468
57,1.3104393408203125,1.1249055022617187e+24,296.2805,124.15454,0.9909354417225318
58,1.3220568359375,1.1316927244062498e+24,298.32654,124.02765,0.966339808164346
59,1.3256132812500003,1.1918873288749999e+24,294.4487,124.28751,0.8538337565257983
60,1.311869512023926,1.1282222637800291e+24,293.45642,125.151085,0.8651388915136158
61,1.3117404296875002,1.1308838675624999e+24,294.34967,124.436386,0.9172147659083205
